filled;close_reason;pnl_r;hold_bars;ambiguous;exit_price;exit_time;position_id;split;split_row_id;entry_id;mask_id;exit_id;stop_policy_id;stop_family;entry_floor_atr;fractal0_buffer_atr;stop_source;stop_distance_atr;risk_distance_atr;side;entry_effective_price;entry_bid_equivalent;protective_stop_price;r_value;signal_time;fill_time;fill_index;filter_id;spread;score_cutoff_on_val_select;entry_filter_score_col;tp_distance_atr
True;ML_CLOSE;0.054285714285729876;0;False;1791.14;2021-09-16 07:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1430;val_eval;1430;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999867;1.9999999999999867;BUY;1790.76;1790.56;1783.76;7.0;2021-09-16 05:00:00;2021-09-16 07:00:00;100022;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;-0.25;0;False;1779.56;2021-09-16 13:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1433;val_eval;1433;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999867;1.9999999999999867;BUY;1781.31;1781.11;1774.31;7.0;2021-09-16 11:00:00;2021-09-16 13:00:00;100028;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;-0.08243243243244863;0;False;1761.79;2021-09-17 13:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1440;val_eval;1440;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0000000000000124;2.0000000000000124;BUY;1762.4;1762.2;1755.0;7.400000000000091;2021-09-17 11:00:00;2021-09-17 13:00:00;100051;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;-1.9058983691804764e-14;14;False;1753.47;2021-09-20 09:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1442;val_eval;1442;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;fractal0_buffer;3.3138888888889064;3.3138888888889064;SELL;1753.4699999999998;1753.4699999999998;1765.3999999999999;11.930000000000064;2021-09-17 16:00:00;2021-09-17 18:00:00;100056;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;TIME;1.886486486486468;24;False;1761.94;2021-09-21 06:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1445;val_eval;1445;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0000000000000124;2.0000000000000124;BUY;1747.98;1747.78;1740.58;7.400000000000091;2021-09-17 22:00:00;2021-09-20 05:00:00;100066;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;SL;-1.0;0;False;1742.8199999999997;2021-09-20 05:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1448;val_eval;1448;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0000000000000244;2.0000000000000244;BUY;1750.4199999999998;1750.2199999999998;1742.8199999999997;7.600000000000136;2021-09-20 02:00:00;2021-09-20 05:00:00;100066;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;TIME;1.7203196347032614;24;False;1776.48;2021-09-21 20:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1454;val_eval;1454;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;fractal0_buffer;2.313513513513437;2.313513513513437;BUY;1761.4099999999999;1761.2099999999998;1752.65;8.759999999999764;2021-09-20 17:00:00;2021-09-20 19:00:00;100080;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;TIME;2.022500000000008;24;False;1777.86;2021-09-22 08:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1460;val_eval;1460;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1761.6799999999998;1761.4799999999998;1753.6799999999998;8.0;2021-09-21 04:00:00;2021-09-21 07:00:00;100091;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;TIME;2.1112500000000125;24;False;1775.67;2021-09-22 11:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1462;val_eval;1462;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1758.78;1758.58;1750.78;8.0;2021-09-21 08:00:00;2021-09-21 10:00:00;100094;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
True;ML_CLOSE;-0.6937499999999943;17;False;1767.02;2021-09-22 21:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1467;val_eval;1467;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999885;1.9999999999999885;BUY;1772.57;1772.37;1764.57;8.0;2021-09-21 20:00:00;2021-09-22 04:00:00;100111;simple_r_value_top30;0.2;2.0384615384615645;r_value_atr;
