original_rank;rule_id;profile_id;model_id;target_id;filter_id;cutoff;cutoff_offset;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;0.30327969306761693;0.005;544;243.6228264381209;60.632259748628464;4.018039694514797;0.33637971817921414;0.0352454780361564;3.845544501903234;0.5349264705882353;0.0;{'ML_CLOSE': 387, 'TIME': 147, 'SL': 10}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;0.30827969306761693;0.01;359;138.69641788312845;40.845697146890615;3.395618818411739;0.27256468171654;0.0209302325581466;3.8591928342534914;0.5292479108635098;0.0;{'ML_CLOSE': 259, 'TIME': 94, 'SL': 6}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;0.31827969306761694;0.02;154;55.963986188532346;14.91380483726472;3.752495543504542;0.2665596191640755;0.0363565891472665;2.002999634636513;0.5454545454545454;0.0;{'ML_CLOSE': 109, 'TIME': 44, 'SL': 1}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;0.2867911301968629;0.0;1107;535.257531857709;162.56306690758385;3.292614626679009;0.3366707000452802;0.0;4.491800707590187;0.4986449864498645;0.0;{'ML_CLOSE': 763, 'TIME': 299, 'SL': 45}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;0.2917911301968629;0.005;868;414.544525250711;133.5342294828014;3.1044064645919303;0.32374458037777604;-0.0061775362318784;5.92806661273778;0.49078341013824883;0.0;{'ML_CLOSE': 599, 'TIME': 230, 'SL': 39}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;0.29679113019686293;0.01;560;264.59390506430054;82.2761065614865;3.215926422898542;0.32556749732645357;0.0036168132942422;5.704090302765849;0.5053571428571428;0.0;{'ML_CLOSE': 387, 'TIME': 151, 'SL': 22}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;0.30679113019686294;0.02;232;105.28475888204588;31.26544198376777;3.367448281610958;0.31904877973395734;0.03057020435067785;3.1491005257686737;0.5172413793103449;0.0;{'ML_CLOSE': 157, 'TIME': 68, 'SL': 7}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;-0.0275664925037564;0.0;1335;613.8885655597758;187.28464559745237;3.2778371318237234;0.31955349809911876;0.0032608695652144;5.690029033643782;0.5048689138576778;0.0;{'ML_CLOSE': 941, 'TIME': 342, 'SL': 52}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;-0.022566492503756398;0.005;1276;581.3420798372168;177.87030834392246;3.2683480747846825;0.31620044787875734;0.0051682692307645;5.690029033643782;0.5078369905956113;0.0;{'ML_CLOSE': 896, 'TIME': 329, 'SL': 51}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;-0.0175664925037564;0.01;1206;532.7906100357111;167.67269039860687;3.177563434862961;0.30275117714519434;0.00202205882351565;5.690029033643697;0.5024875621890548;0.0;{'ML_CLOSE': 853, 'TIME': 308, 'SL': 45}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;-0.007566492503756399;0.02;1073;470.5734931914874;145.57504517156377;3.23251483547132;0.3028876495991832;0.0032608695652144;5.460180138329434;0.5041938490214353;0.0;{'ML_CLOSE': 764, 'TIME': 270, 'SL': 39}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;0.2897998842880031;0.0;1223;535.275421211596;163.8492646454398;3.2668771652402633;0.30370086391345574;0.0051282051282004;5.2031451287653425;0.5069501226492232;0.0;{'ML_CLOSE': 873, 'TIME': 311, 'SL': 39}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;0.2947998842880031;0.005;945;405.69267042498916;123.96243741162843;3.272706465732439;0.2981272307019691;0.0032608695652144;6.16285053148799;0.5037037037037037;0.0;{'ML_CLOSE': 675, 'TIME': 240, 'SL': 30}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;0.2997998842880031;0.01;686;300.69527450410175;82.32418609514055;3.652575127272971;0.31832520176233414;0.01622807017542385;4.324204316182431;0.5145772594752187;0.0;{'ML_CLOSE': 490, 'TIME': 181, 'SL': 15}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;0.3097998842880031;0.02;321;129.25025918735014;34.242679074975264;3.7745370011602546;0.29597376982048257;0.0360465116278745;2.564110867040405;0.5420560747663551;0.0;{'ML_CLOSE': 231, 'TIME': 86, 'SL': 4}
