profile,model_key,seed,target_family,split,year,horizon,spearman,top10_lift,top_n,rest_n
atr_only,hist_gradient_boosting,44,entry_movement,val_eval,2023,12,0.25908780397811504,1.0977260276418683,124,1112
atr_only,hist_gradient_boosting,44,entry_movement,val_eval,2024,12,0.2914639942396724,1.1789266068165443,273,2450
atr_only,hist_gradient_boosting,44,entry_movement,val_eval,2025,12,0.059176023477915195,0.773005899878509,269,2418
atr_only,hist_gradient_boosting,42,entry_movement,val_select,2021,24,0.13733262626431203,1.144297266821008,269,2417
atr_only,hist_gradient_boosting,42,entry_movement,val_select,2022,24,0.17603045316600288,1.5946060169935359,252,2267
atr_only,hist_gradient_boosting,42,entry_movement,val_select,2023,24,0.17117328687697145,1.2195675064050726,145,1298
atr_only,hist_gradient_boosting,42,entry_movement,val_eval,2023,24,0.32216429618882053,0.9789618856177558,124,1112
atr_only,hist_gradient_boosting,42,entry_movement,val_eval,2024,24,0.26058609689137074,1.1276066120499066,273,2450
atr_only,hist_gradient_boosting,42,entry_movement,val_eval,2025,24,0.15940305702206717,0.7866764591937199,269,2418
atr_only,hist_gradient_boosting,43,entry_movement,val_select,2021,24,0.13424646519217992,1.1353109078872952,269,2417
atr_only,hist_gradient_boosting,43,entry_movement,val_select,2022,24,0.1862523296621296,1.5236550498179557,252,2267
atr_only,hist_gradient_boosting,43,entry_movement,val_select,2023,24,0.18058422052119255,1.3190560011301873,145,1298
atr_only,hist_gradient_boosting,43,entry_movement,val_eval,2023,24,0.3161169580297013,0.9739897640536124,124,1112
atr_only,hist_gradient_boosting,43,entry_movement,val_eval,2024,24,0.2718014768820007,1.125978936411517,273,2450
atr_only,hist_gradient_boosting,43,entry_movement,val_eval,2025,24,0.19557457131120315,0.8645716034597102,269,2418
atr_only,hist_gradient_boosting,44,entry_movement,val_select,2021,24,0.13653109939366764,1.1353109078872952,269,2417
atr_only,hist_gradient_boosting,44,entry_movement,val_select,2022,24,0.17617622977246267,1.5277882617834346,252,2267
atr_only,hist_gradient_boosting,44,entry_movement,val_select,2023,24,0.16386735645102363,1.2926174984635532,145,1298
atr_only,hist_gradient_boosting,44,entry_movement,val_eval,2023,24,0.3141426830246045,0.9743396793202029,124,1112
atr_only,hist_gradient_boosting,44,entry_movement,val_eval,2024,24,0.2644664714181388,1.1128934288953287,273,2450
atr_only,hist_gradient_boosting,44,entry_movement,val_eval,2025,24,-0.08856282594671602,0.7746200373442049,269,2418
atr_only,extra_trees_small,42,entry_movement,val_select,2021,3,0.2495197555457337,1.3409283585507066,269,2417
atr_only,extra_trees_small,42,entry_movement,val_select,2022,3,0.2732287150978639,1.6508827240839985,252,2267
atr_only,extra_trees_small,42,entry_movement,val_select,2023,3,0.18787587343497325,1.0896588727022194,145,1298
atr_only,extra_trees_small,42,entry_movement,val_eval,2023,3,0.2531306953244211,1.2563521689684825,124,1112
atr_only,extra_trees_small,42,entry_movement,val_eval,2024,3,0.28631974281509864,1.2894938694933944,273,2450
atr_only,extra_trees_small,42,entry_movement,val_eval,2025,3,0.37453115526247105,1.0173967463560787,269,2418
