profile,model_key,seed,horizon,target_family,split,top_frac,top_n,rest_n,top_mean,rest_mean,lift,lift_ci_p05,lift_ci_p50,lift_ci_p95
atr_only,ridge_regression,42,12,entry_movement,val_select,0.2,1330.0,5318.0,16.906887218045114,12.947102294095526,1.3058433334349595,1.2040963742748587,1.3102804450850796,1.4030331142622954
atr_only,ridge_regression,42,12,entry_movement,val_eval,0.05,333.0,6313.0,54.01801801801804,21.974077300807863,2.4582610354261427,2.046839109276488,2.4264853723178734,2.94250693736024
atr_only,ridge_regression,42,12,entry_movement,val_eval,0.1,665.0,5981.0,51.44727819548875,20.481175388730982,2.5119299658844647,2.2227662107160446,2.490561728664277,2.8735599732827968
atr_only,ridge_regression,42,12,entry_movement,val_eval,0.2,1330.0,5316.0,45.851751879699265,18.00743416102333,2.546267917444025,2.26383503233082,2.498792407554909,2.740057275169878
atr_only,ridge_regression,42,12,entry_movement,low_n_disclosure,0.05,59.0,1103.0,82.458813559322,83.85336355394378,0.9833691823974997,0.6122343707769692,0.9782566754630958,1.7250541007722027
atr_only,ridge_regression,42,12,entry_movement,low_n_disclosure,0.1,117.0,1045.0,102.40350427350424,81.69772248803827,1.2534438066923788,0.8120694763416518,1.2347312358016547,1.7013008174572017
atr_only,ridge_regression,42,12,entry_movement,low_n_disclosure,0.2,233.0,929.0,104.049313304721,78.69950484391818,1.3221088685510558,1.0308457384324923,1.3017894621447077,1.650964666676132
atr_only,ridge_regression,42,24,entry_movement,val_select,0.05,333.0,6315.0,28.010450450450456,19.670019002375298,1.4240174575870004,1.22827806935973,1.4350648792378895,1.7221775070331715
atr_only,ridge_regression,42,24,entry_movement,val_select,0.1,665.0,5983.0,26.31112781954888,19.396080561591177,1.3565177632666225,1.2379659382748527,1.3488642374398645,1.494156552489915
atr_only,ridge_regression,42,24,entry_movement,val_select,0.2,1330.0,5318.0,24.49511278195489,18.985549078600975,1.2901977541204677,1.1953937751268735,1.2975412282875047,1.4050447705176543
