original_rank;rule_id;profile_id;model_id;target_id;filter_id;period;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;2022Q2;123;62.43449943606093;15.873508554338459;3.933251380583827;0.3785446413148167;0.0052083333333286;2.8744549590359867;0.5040650406504065;0.0;{'ML_CLOSE': 88, 'TIME': 34, 'SL': 1}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;2022Q3;123;59.140505540080355;17.17560307574902;3.4432855300192284;0.341178068815702;0.0652173913043376;2.4638335704124756;0.5772357723577236;0.0;{'ML_CLOSE': 82, 'TIME': 36, 'SL': 5}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;2022Q4;86;23.22741073821469;11.500267625089386;2.019727844206074;0.13636212922238722;-0.04273954864965345;4.15793583587283;0.43023255813953487;0.0;{'ML_CLOSE': 69, 'TIME': 17}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2021Q1;22;6.298552345197738;2.070410417492113;3.0421757406085552;0.19218826944116474;0.008720930232563298;1.1418087855296566;0.5;0.0;{'ML_CLOSE': 14, 'TIME': 8}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2021Q2;82;40.5663156845637;6.160783775107112;6.584603057889076;0.4195796574323974;0.09345238095238659;1.519342318273651;0.5975609756097561;0.0;{'ML_CLOSE': 58, 'TIME': 24}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2021Q3;87;37.81224991344213;11.99240960604824;3.1530152117529355;0.2967797736482055;-0.0194444444444582;3.5589674017136197;0.4367816091954023;0.0;{'ML_CLOSE': 62, 'TIME': 22, 'SL': 3}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2021Q4;74;25.535492549511265;7.6071207267024805;3.3567881287694954;0.24227529490282146;0.0170867208672069;0.9193181818182019;0.5540540540540541;0.0;{'ML_CLOSE': 52, 'TIME': 22}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2022Q1;88;31.972025942250806;13.262201547020172;2.410763087025658;0.21261164085489356;-0.02132352941176215;2.766821097647906;0.4431818181818182;0.0;{'ML_CLOSE': 71, 'TIME': 14, 'SL': 3}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2022Q2;86;53.82820806874297;11.326934331853856;4.752230964857462;0.49420085740568725;0.02927781392322115;1.783962264150945;0.5465116279069767;0.0;{'ML_CLOSE': 57, 'TIME': 27, 'SL': 2}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2022Q3;75;40.98643428480141;8.620049107801716;4.754779673784686;0.4315518023599961;0.1488095238095222;2.1119005328596785;0.6533333333333333;0.0;{'ML_CLOSE': 44, 'TIME': 27, 'SL': 4}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2022Q4;56;22.092896569211476;7.812713209424194;2.8278135875462076;0.25500327428191577;-0.03906250000001215;1.8937450980392276;0.44642857142857145;0.0;{'ML_CLOSE': 42, 'TIME': 14}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2021Q1;38;17.447760469987113;4.031083812394399;4.328305061864597;0.3530704383577031;0.06818181818180755;1.9279069767441506;0.5789473684210527;0.0;{'ML_CLOSE': 22, 'TIME': 15, 'SL': 1}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2021Q2;149;78.70925160722534;14.900980953930635;5.28215235296057;0.42824342720332015;0.0743589743589946;1.7958974358974018;0.5838926174496645;0.0;{'ML_CLOSE': 101, 'TIME': 45, 'SL': 3}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2021Q3;163;77.29630515410466;23.155718887074404;3.3381086344614292;0.3321508359940506;-0.0159574468085201;5.239390050533864;0.4785276073619632;0.0;{'ML_CLOSE': 115, 'TIME': 42, 'SL': 6}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2021Q4;161;68.1106173945923;15.445392529598768;4.409769273527271;0.3271131979192145;0.0341463414633833;1.6679573170731778;0.5714285714285714;0.0;{'ML_CLOSE': 117, 'TIME': 43, 'SL': 1}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2022Q1;157;67.78186271243327;27.792768782610107;2.4388308787300197;0.25470760464855513;-0.0536231884057814;4.361770526221775;0.4012738853503185;0.0;{'ML_CLOSE': 116, 'TIME': 29, 'SL': 12}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2022Q2;164;88.42607679580092;20.480011399859876;4.317677127680014;0.41430527680451856;0.02999608150469775;2.3193392255892213;0.5365853658536586;0.0;{'ML_CLOSE': 112, 'TIME': 48, 'SL': 4}
