split,time,target_direction_3,target_is_tie_3,target_up_3,target_dn_3
train,2011.09.02 23:00,1,False,10.38000000000011,6.740000000000009
train,2011.09.05 04:00,-1,False,2.980000000000018,4.4099999999998545
train,2011.09.05 05:00,-1,False,0.0,6.569999999999936
train,2011.09.05 08:00,1,False,18.36999999999989,3.6700000000000728
train,2011.09.05 10:00,-1,False,9.430000000000064,9.740000000000009
train,2011.09.05 11:00,-1,False,8.680000000000064,10.490000000000009
train,2011.09.05 13:00,1,False,9.409999999999854,3.1400000000001
train,2011.09.05 14:00,1,False,10.179999999999836,5.150000000000091
train,2011.09.05 16:00,1,False,7.230000000000018,0.7799999999999727
train,2011.09.05 19:00,1,False,2.4600000000000364,0.6599999999998545
train,2011.09.05 21:00,1,False,3.3400000000001455,0.049999999999954525
train,2011.09.05 21:00,1,False,3.3400000000001455,0.049999999999954525
train,2011.09.06 01:00,-1,False,0.22000000000002728,7.4500000000000455
train,2011.09.06 02:00,1,False,4.5,3.769999999999982
train,2011.09.06 05:00,1,False,18.980000000000018,0.049999999999954525
train,2011.09.06 10:00,1,False,28.62000000000012,24.649999999999864
train,2011.09.06 12:00,-1,False,6.2999999999999545,13.8900000000001
train,2011.09.06 14:00,1,False,13.679999999999836,10.350000000000136
train,2011.09.06 15:00,-1,False,16.299999999999955,29.37999999999988
train,2011.09.06 17:00,-1,False,3.6200000000001182,30.62999999999988
train,2011.09.06 17:00,-1,False,3.6200000000001182,30.62999999999988
train,2011.09.06 19:00,-1,False,3.709999999999809,15.150000000000091
train,2011.09.06 21:00,-1,False,1.8099999999999454,12.740000000000009
train,2011.09.06 23:00,1,False,10.950000000000045,1.990000000000009
train,2011.09.07 02:00,-1,False,4.059999999999945,7.519999999999982
train,2011.09.07 05:00,-1,False,1.5299999999999727,59.36000000000013
train,2011.09.07 05:00,-1,False,1.5299999999999727,59.36000000000013
train,2011.09.07 07:00,-1,False,7.379999999999882,18.970000000000027
