representation,model_key,seed,split_name,pred_entry_up_3,pred_entry_dn_3,pred_entry_log_ratio_3,pred_entry_up_6,pred_entry_dn_6,pred_entry_log_ratio_6,pred_entry_up_12,pred_entry_dn_12,pred_entry_log_ratio_12,pred_entry_up_24,pred_entry_dn_24,pred_entry_log_ratio_24,time
all100_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,1.9077421426773071,1.4050801992416382,0.012849468737840652,3.261157512664795,2.762096405029297,-0.04745909199118614,4.722341537475586,6.360769271850586,-0.09882276505231857,4.784277439117432,7.5687031745910645,-0.16295911371707916,2023.07.17 04:00
all100_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,2.2631287574768066,1.9405570030212402,0.0368022695183754,2.950124740600586,3.2030320167541504,-0.003692972008138895,4.722202777862549,6.976889610290527,0.02306457981467247,4.778135299682617,7.952884674072266,0.13273218274116516,2023.07.17 06:00
all100_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,2.2635061740875244,2.1438076496124268,-0.004510154016315937,3.803797721862793,4.119196891784668,-0.08959923684597015,4.854855537414551,7.0533857345581055,-0.07910742610692978,4.171357154846191,6.697997570037842,-0.07516995072364807,2023.07.17 08:00
all100_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,2.7248921394348145,2.4884119033813477,0.018781883642077446,3.6625771522521973,4.832113265991211,-0.033138662576675415,5.161839962005615,6.654511451721191,-0.16848330199718475,4.8621506690979,7.052462100982666,0.1458592563867569,2023.07.17 10:00
all100_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,3.0653223991394043,3.194441795349121,0.09447069466114044,3.850151538848877,5.351683139801025,-0.08433325588703156,4.366737365722656,7.084609031677246,-0.13784214854240417,4.996742248535156,7.015525817871094,-0.08180004358291626,2023.07.17 13:00
all100_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,3.275214672088623,3.3915064334869385,0.021828090772032738,3.6422202587127686,4.776102066040039,-0.11073917150497437,4.601655960083008,6.410917282104492,-0.19596654176712036,4.918386936187744,6.560975074768066,0.1487828940153122,2023.07.17 15:00
all100_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,3.5579988956451416,3.746443271636963,-0.04257708042860031,3.622260570526123,3.7575392723083496,-0.15994209051132202,3.472853899002075,4.598965644836426,-0.1669202297925949,5.144545555114746,6.197018623352051,0.19029740989208221,2023.07.17 16:00
nearest_k80_sequence,transformer_small,42,val_eval,1.6865746974945068,1.64276123046875,0.0308376494795084,2.558791160583496,2.4721415042877197,0.03575286641716957,4.48346471786499,4.355033874511719,0.03442978486418724,7.084232330322266,6.951413154602051,0.03141063451766968,2023.07.17 02:00
nearest_k80_sequence,transformer_small,42,val_eval,1.7827056646347046,1.7424925565719604,0.03317499905824661,2.744483470916748,2.655338764190674,0.04090883582830429,4.9796600341796875,4.8499755859375,0.03723911568522453,7.667640209197998,7.3991594314575195,0.04415411129593849,2023.07.17 04:00
nearest_k80_sequence,transformer_small,42,val_eval,1.8454437255859375,1.8760743141174316,0.017804816365242004,2.9700236320495605,3.034005641937256,0.016821304336190224,5.3832292556762695,5.52197790145874,0.005983786657452583,7.816740036010742,7.677250862121582,0.021531105041503906,2023.07.17 06:00
nearest_k80_sequence,transformer_small,42,val_eval,2.0537338256835938,2.1567978858947754,0.0009091657120734453,3.442595958709717,3.629298210144043,-0.0018090612720698118,5.90099573135376,6.134970664978027,-0.004486856982111931,8.073370933532715,7.923347473144531,0.016537345945835114,2023.07.17 08:00
nearest_k80_sequence,transformer_small,42,val_eval,2.212292194366455,2.3994553089141846,-0.02404901385307312,3.7006266117095947,4.0605034828186035,-0.0380404107272625,5.653164863586426,6.091078281402588,-0.03819898143410683,7.534321308135986,7.781575679779053,-0.029861297458410263,2023.07.17 10:00
nearest_k80_sequence,transformer_small,42,val_eval,3.3658528327941895,3.2749385833740234,0.03821028769016266,4.613954544067383,4.358088970184326,0.05587037652730942,5.764693260192871,5.268245697021484,0.0790180191397667,8.436344146728516,7.867330074310303,0.0887187123298645,2023.07.17 13:00
nearest_k80_sequence,transformer_small,42,val_eval,3.1490728855133057,3.0188045501708984,0.04494982585310936,4.096500396728516,3.802030086517334,0.06055963784456253,5.1704277992248535,4.712217330932617,0.07802455127239227,8.212709426879883,7.703575134277344,0.08365694433450699,2023.07.17 15:00
nearest_k80_sequence,transformer_small,42,val_eval,2.5013906955718994,2.3874006271362305,0.036429744213819504,3.3071486949920654,3.103053092956543,0.04423309490084648,4.429187774658203,4.15529203414917,0.05797175318002701,7.203700542449951,6.896081447601318,0.05805236101150513,2023.07.17 16:00
nearest_k80_sequence,transformer_medium,42,val_eval,1.3446059226989746,1.8493201732635498,-0.18887875974178314,1.924351453781128,3.0856549739837646,-0.30756133794784546,2.7691407203674316,5.735241889953613,-0.5781190395355225,3.6881344318389893,9.193094253540039,-0.8162279725074768,2023.07.17 02:00
nearest_k80_sequence,transformer_medium,42,val_eval,1.4796971082687378,1.799399971961975,-0.13662117719650269,2.1253209114074707,3.0236127376556396,-0.24162903428077698,3.1216390132904053,5.738509178161621,-0.4898563325405121,4.23703670501709,8.790216445922852,-0.6733675003051758,2023.07.17 04:00
nearest_k80_sequence,transformer_medium,42,val_eval,1.403083086013794,2.193558931350708,-0.27612635493278503,1.9941375255584717,4.241620063781738,-0.5008725523948669,2.642958164215088,8.543258666992188,-0.9336416125297546,2.972001552581787,11.88715934753418,-1.1725484132766724,2023.07.17 06:00
nearest_k80_sequence,transformer_medium,42,val_eval,1.705926775932312,2.1546692848205566,-0.16162140667438507,2.4666802883148193,3.8549656867980957,-0.30810198187828064,3.5056874752044678,6.7744340896606445,-0.5399661064147949,4.533580780029297,8.912422180175781,-0.6406033039093018,2023.07.17 08:00
nearest_k80_sequence,transformer_medium,42,val_eval,1.7015377283096313,2.886467456817627,-0.32071611285209656,2.473802089691162,5.176011085510254,-0.5275214314460754,3.1903858184814453,7.433631420135498,-0.6972501873970032,3.923328399658203,9.419305801391602,-0.7940372228622437,2023.07.17 10:00
nearest_k80_sequence,transformer_medium,42,val_eval,2.6014981269836426,3.3274965286254883,-0.16624994575977325,3.27793288230896,4.420694351196289,-0.2175925076007843,3.928253412246704,5.214781284332275,-0.21783055365085602,5.833620071411133,7.248100757598877,-0.22765766084194183,2023.07.17 13:00
nearest_k80_sequence,transformer_medium,42,val_eval,2.252002239227295,2.6484262943267822,-0.08500809222459793,2.8822436332702637,3.2473442554473877,-0.08091551065444946,3.862779140472412,4.274587154388428,-0.08897429704666138,6.228614330291748,7.200741767883301,-0.14971716701984406,2023.07.17 15:00
