left_rule_id;right_rule_id;fill_overlap_ratio;signal_overlap_ratio;fill_jaccard;signal_jaccard;same_direction_ratio;fill_bucket_pnl_corr;shared_fill_bucket_count;left_trade_count_at_shared_fills;right_trade_count_at_shared_fills;mixed_direction_bucket_count;fill_daily_pnl_corr;fill_weekly_pnl_corr;exit_daily_pnl_corr;exit_weekly_pnl_corr;exit_drawdown_overlap_ratio;exit_co_loss_ratio;exit_staggered_gain_ratio;benchmark_system_correlation_parity;redundancy_verdict
rank02_time_only_linear_target_entry_ev_regression_top40;rank03_time_only_linear_target_entry_ev_regression_top50;1.0;1.0;0.8174358974358974;0.8055295220243673;0.9943538268506901;0.9755466089773299;1594.0;1782.0;1846.0;21.0;0.9222108565666042;0.9259292988752411;0.9207617824704247;0.9244164346052898;0.7973484848484849;0.8132992327365729;0.15876288659793814;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;strong_duplicate
rank02_time_only_linear_target_entry_ev_regression_top40;rank04_time_only_linear_target_entry_good_0_5r_top40;0.8717447916666666;0.8658980582524272;0.7476270240089335;0.7355670103092784;0.9977595220313666;0.9804886269913324;1339.0;1521.0;1505.0;13.0;0.8624992586756227;0.8634313967147744;0.8586401314176778;0.8605281999297802;0.7344322344322345;0.7419354838709677;0.2156448202959831;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;strong_duplicate
rank02_time_only_linear_target_entry_ev_regression_top40;rank05_time_only_linear_target_entry_avoid_sl_top30;0.6470028544243578;0.6242371403661726;0.3460559796437659;0.3330232558139535;0.9955882352941177;0.933613725737197;680.0;785.0;797.0;7.0;0.5114555801363451;0.5742784435630128;0.5073507794224941;0.5798381287328316;0.46924428822495606;0.4409090909090909;0.5122448979591837;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank02_time_only_linear_target_entry_ev_regression_top40;rank06_time_only_linear_target_entry_good_0_5r_top50;1.0;1.0;0.8099593495934959;0.7973098330241187;0.9974905897114178;0.9837216037834663;1594.0;1782.0;1839.0;16.0;0.9064600950589736;0.9171970990691791;0.8943172435194006;0.9158480299730318;0.7940074906367042;0.7969924812030075;0.1544885177453027;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;strong_duplicate
rank02_time_only_linear_target_entry_ev_regression_top40;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;1.0;1.0;0.3205771643663739;0.3077370564281559;0.9921722113502935;0.9742307242991438;511.0;585.0;549.0;4.0;0.426835041713576;0.5072222735282405;0.4070741245183141;0.552716147328279;0.43308550185873607;0.43640897755610975;0.6177777777777778;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank02_time_only_linear_target_entry_ev_regression_top40;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;1.0;1.0;0.24717691342534504;0.2344386271087842;0.9923857868020305;0.9681131058956299;394.0;458.0;418.0;3.0;0.38288065053098536;0.4237783117500393;0.3711262028402059;0.4863387529646982;0.35992578849721707;0.3640897755610973;0.6940133037694013;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank02_time_only_linear_target_entry_ev_regression_top40;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;0.740276035131744;0.7038976148923793;0.48519736842105265;0.44947994056463597;0.997457627118644;0.9475913622199482;1180.0;1332.0;1367.0;14.0;0.6471774078600349;0.6589331263471229;0.6429504849033;0.667591607892832;0.5501672240802675;0.49145299145299143;0.3925399644760213;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank02_time_only_linear_target_entry_ev_regression_top40;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;1.0;1.0;0.14491844416562108;0.1343804537521815;0.987012987012987;0.9560386626382044;231.0;272.0;241.0;3.0;0.3069613362171995;0.3186828139917169;0.3014069641922973;0.387669129750263;0.2199248120300752;0.2;0.8090909090909091;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank02_time_only_linear_target_entry_ev_regression_top40;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;1.0;1.0;0.3996235884567127;0.387434554973822;0.9984301412872841;0.9678771186055694;637.0;719.0;693.0;7.0;0.6323433864742151;0.6878879970221324;0.6212884367598529;0.7014335157676045;0.5110294117647058;0.5099502487562189;0.512249443207127;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank03_time_only_linear_target_entry_ev_regression_top50;rank04_time_only_linear_target_entry_good_0_5r_top40;0.9609375;0.9599514563106796;0.7343283582089553;0.7190909090909091;0.9952574525745257;0.9819399816901578;1476.0;1723.0;1646.0;21.0;0.879464279972765;0.8762689928286986;0.874676942825621;0.8730584609812257;0.7425373134328358;0.7556675062972292;0.22954091816367264;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;strong_duplicate
