original_rank;rule_id;profile_id;model_id;target_id;filter_id;year;side;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2022;SELL;311;146.41467819159988;45.575922729893755;3.212544462551602;0.3242403712595052;-0.0031249999999971;4.721974198004929;0.4855305466237942;0.0;{'ML_CLOSE': 223, 'TIME': 78, 'SL': 10}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2021;BUY;126;59.51474116112919;14.240825118392435;4.179163824170847;0.35931679398997424;0.0290571284125491;4.833740410534823;0.5555555555555556;0.0;{'ML_CLOSE': 90, 'TIME': 33, 'SL': 3}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2021;SELL;145;51.80074757371487;15.937907860295141;3.2501598094165174;0.2473299290580671;0.0039473684210191;2.487822549957773;0.503448275862069;0.0;{'ML_CLOSE': 105, 'TIME': 38, 'SL': 2}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2022;BUY;232;100.34918654511846;29.625878335632343;3.3872138880832465;0.3048418457305436;0.0254472920696222;4.262460386665959;0.5172413793103449;0.0;{'ML_CLOSE': 161, 'TIME': 61, 'SL': 10}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2022;SELL;257;121.32287013902372;37.451936603846846;3.2394284819589845;0.32634604488395674;-0.0171052631579093;5.288638996569716;0.4785992217898833;0.0;{'ML_CLOSE': 185, 'TIME': 65, 'SL': 7}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2021;BUY;240;122.56113697052416;36.23871795981343;3.382049472788666;0.35967674587796133;0.014761904761905451;3.7579956132920316;0.5166666666666667;0.0;{'ML_CLOSE': 155, 'TIME': 71, 'SL': 14}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2021;SELL;282;117.4613774380306;36.36190323830736;3.230341840695641;0.287586787942281;-0.014375000000001099;3.2160921926911072;0.48226950354609927;0.0;{'ML_CLOSE': 202, 'TIME': 75, 'SL': 5}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2022;BUY;293;150.0436363140264;46.32754756488892;3.2387562951366466;0.35397982508238046;-0.0041666666666628;4.217828156752244;0.4880546075085324;0.0;{'ML_CLOSE': 198, 'TIME': 77, 'SL': 18}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2022;SELL;292;145.1913811351278;43.63489814457414;3.327414232847978;0.34779617462518386;0.0042346014492714995;4.113469653864428;0.5102739726027398;0.0;{'ML_CLOSE': 208, 'TIME': 76, 'SL': 8}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2021;BUY;239;118.32811734699209;28.524923187137563;4.148236143203657;0.3757455822588056;0.0244186046511666;4.193591169064483;0.5397489539748954;0.0;{'ML_CLOSE': 168, 'TIME': 65, 'SL': 6}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2021;SELL;268;108.93347194312962;32.338866625928716;3.3684999911465274;0.28580076610895855;-0.01187500000000335;5.155449546876554;0.48507462686567165;0.0;{'ML_CLOSE': 194, 'TIME': 70, 'SL': 4}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2022;BUY;410;192.28009124544099;58.68219543133873;3.276634247101727;0.3258485263758591;0.0172741502683445;3.3737798378755457;0.5170731707317073;0.0;{'ML_CLOSE': 284, 'TIME': 103, 'SL': 23}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2022;SELL;418;194.34688502421315;67.73866035304735;2.869068918861046;0.30289048964393733;-0.01095458298926435;4.734495885848631;0.48564593301435405;0.0;{'ML_CLOSE': 295, 'TIME': 104, 'SL': 19}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;2021;BUY;236;111.25612400551327;29.078152836011835;3.8261069963057674;0.34821174224365015;0.045138888888878154;4.159870238831928;0.5466101694915254;0.0;{'ML_CLOSE': 163, 'TIME': 66, 'SL': 7}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;2021;SELL;268;101.81718418090854;30.602066553529696;3.3271342640474315;0.26572805084842854;-0.00051020408163215;3.6717305457194698;0.4962686567164179;0.0;{'ML_CLOSE': 195, 'TIME': 70, 'SL': 3}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;2022;BUY;348;154.87500464520028;48.757158604139015;3.176456731259415;0.30493633919845187;0.0137198067632851;3.2787677248266576;0.514367816091954;0.0;{'ML_CLOSE': 244, 'TIME': 86, 'SL': 18}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;2022;SELL;371;167.327108379974;55.41188665175923;3.0196970089027215;0.30165827959087543;-0.0147058823529279;4.2583877551020635;0.48247978436657685;0.0;{'ML_CLOSE': 271, 'TIME': 89, 'SL': 11}
