filled;close_reason;pnl_r;hold_bars;ambiguous;exit_price;exit_time;position_id;split;split_row_id;entry_id;mask_id;exit_id;side;entry_effective_price;entry_bid_equivalent;protective_stop_price;r_value;signal_time;fill_time;fill_index;metric_split;metric_spread
True;SL;-1.0;0;False;1718.5;2020-06-18 15:00:00;E3_open_pullback_1_0atr:2756;val_select;2756;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1721.44;1721.24;1718.5;2.9400000000000546;2020-06-18 13:00:00;2020-06-18 15:00:00;92667;val_select;0.2
True;ML_CLOSE;0.9279999999999744;0;False;1734.59;2020-06-19 16:00:00;E3_open_pullback_1_0atr:2763;val_select;2763;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1736.91;1736.91;1739.41;2.5;2020-06-19 10:00:00;2020-06-19 16:00:00;92691;val_select;0.2
True;ML_CLOSE;0.5279999999999745;0;False;1735.13;2020-06-19 15:00:00;E3_open_pullback_1_0atr:2764;val_select;2764;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1736.45;1736.45;1738.95;2.5;2020-06-19 12:00:00;2020-06-19 15:00:00;92690;val_select;0.2
True;SL;-1.0;0;False;1749.03;2020-06-22 01:00:00;E3_open_pullback_1_0atr:2766;val_select;2766;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1746.53;1746.53;1749.03;2.5;2020-06-19 19:00:00;2020-06-22 01:00:00;92699;val_select;0.2
True;SL;-1.0;0;False;1755.18;2020-06-22 04:00:00;E3_open_pullback_1_0atr:2767;val_select;2767;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1752.68;1752.68;1755.18;2.5;2020-06-19 23:00:00;2020-06-22 04:00:00;92702;val_select;0.2
True;SL;-1.0;0;False;1756.23;2020-06-22 04:00:00;E3_open_pullback_1_0atr:2768;val_select;2768;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1753.83;1753.83;1756.23;2.400000000000091;2020-06-22 02:00:00;2020-06-22 04:00:00;92702;val_select;0.2
True;SL;-1.0;0;False;1745.06;2020-06-22 10:00:00;E3_open_pullback_1_0atr:2771;val_select;2771;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1747.66;1747.46;1745.06;2.6000000000001364;2020-06-22 07:00:00;2020-06-22 10:00:00;92708;val_select;0.2
True;SL;-1.0;0;False;1758.3300000000002;2020-06-22 15:00:00;E3_open_pullback_1_0atr:2772;val_select;2772;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1755.93;1755.93;1758.3300000000002;2.400000000000091;2020-06-22 09:00:00;2020-06-22 15:00:00;92713;val_select;0.2
True;SL;-1.0;0;False;1755.3300000000002;2020-06-22 15:00:00;E3_open_pullback_1_0atr:2774;val_select;2774;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1752.93;1752.93;1755.3300000000002;2.400000000000091;2020-06-22 13:00:00;2020-06-22 15:00:00;92713;val_select;0.2
True;ML_CLOSE;0.0246389124893767;1;False;1755.06;2020-06-22 19:00:00;E3_open_pullback_1_0atr:2776;val_select;2776;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1754.77;1754.57;1743.0;11.769999999999982;2020-06-22 16:00:00;2020-06-22 18:00:00;92716;val_select;0.2
True;SL;-1.0;0;False;1748.3;2020-06-23 05:00:00;E3_open_pullback_1_0atr:2779;val_select;2779;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1750.9;1750.7;1748.3;2.6000000000001364;2020-06-22 21:00:00;2020-06-23 05:00:00;92726;val_select;0.2
True;ML_CLOSE;0.4916666666665798;8;False;1757.59;2020-06-23 12:00:00;E3_open_pullback_1_0atr:2780;val_select;2780;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1758.77;1758.77;1761.17;2.400000000000091;2020-06-22 23:00:00;2020-06-23 04:00:00;92725;val_select;0.2
True;ML_CLOSE;0.4916666666665798;8;False;1757.59;2020-06-23 12:00:00;E3_open_pullback_1_0atr:2781;val_select;2781;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1758.77;1758.77;1761.17;2.400000000000091;2020-06-22 23:00:00;2020-06-23 04:00:00;92725;val_select;0.2
True;SL;-1.0;0;False;1747.63;2020-06-23 05:00:00;E3_open_pullback_1_0atr:2782;val_select;2782;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1750.33;1750.13;1747.63;2.700000000000045;2020-06-23 02:00:00;2020-06-23 05:00:00;92726;val_select;0.2
True;ML_CLOSE;-0.0612244897959213;2;False;1755.64;2020-06-23 10:00:00;E3_open_pullback_1_0atr:2784;val_select;2784;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1755.16;1755.16;1763.0;7.839999999999918;2020-06-23 05:00:00;2020-06-23 08:00:00;92729;val_select;0.2
True;SL;-1.0;0;False;1757.7;2020-06-23 11:00:00;E3_open_pullback_1_0atr:2786;val_select;2786;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1754.72;1754.72;1757.7;2.980000000000018;2020-06-23 09:00:00;2020-06-23 11:00:00;92732;val_select;0.2
True;SL;-1.0;0;False;1765.39;2020-06-23 16:00:00;E3_open_pullback_1_0atr:2788;val_select;2788;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1762.89;1762.89;1765.39;2.5;2020-06-23 14:00:00;2020-06-23 16:00:00;92737;val_select;0.2
True;ML_CLOSE;0.7800000000000182;5;False;1769.95;2020-06-24 08:00:00;E3_open_pullback_1_0atr:2791;val_select;2791;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1771.9;1771.9;1774.4;2.5;2020-06-23 20:00:00;2020-06-24 03:00:00;92747;val_select;0.2
True;ML_CLOSE;0.8599999999999455;5;False;1769.95;2020-06-24 08:00:00;E3_open_pullback_1_0atr:2793;val_select;2793;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1772.1;1772.1;1774.6;2.5;2020-06-24 01:00:00;2020-06-24 03:00:00;92747;val_select;0.2
True;ML_CLOSE;-0.2;0;False;1775.21;2020-06-24 11:00:00;E3_open_pullback_1_0atr:2795;val_select;2795;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1774.71;1774.71;1777.21;2.5;2020-06-24 04:00:00;2020-06-24 11:00:00;92755;val_select;0.2
True;ML_CLOSE;0.7037037037037256;0;False;1766.65;2020-06-24 15:00:00;E3_open_pullback_1_0atr:2796;val_select;2796;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1764.75;1764.55;1762.05;2.700000000000045;2020-06-24 08:00:00;2020-06-24 15:00:00;92759;val_select;0.2
True;ML_CLOSE;-0.1;0;False;1775.21;2020-06-24 11:00:00;E3_open_pullback_1_0atr:2797;val_select;2797;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1774.96;1774.96;1777.46;2.5;2020-06-24 09:00:00;2020-06-24 11:00:00;92755;val_select;0.2
True;ML_CLOSE;0.577777777777832;0;False;1766.65;2020-06-24 15:00:00;E3_open_pullback_1_0atr:2798;val_select;2798;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1765.09;1764.89;1762.39;2.700000000000045;2020-06-24 10:00:00;2020-06-24 15:00:00;92759;val_select;0.2
True;TIME;1.3333333333333235;24;False;1763.17;2020-06-25 19:00:00;E3_open_pullback_1_0atr:2800;val_select;2800;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1773.53;1773.53;1781.3;7.769999999999982;2020-06-24 16:00:00;2020-06-24 18:00:00;92762;val_select;0.2
True;ML_CLOSE;-0.2776057791537708;0;False;1766.3;2020-06-24 19:00:00;E3_open_pullback_1_0atr:2801;val_select;2801;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1768.99;1768.79;1759.3;9.690000000000056;2020-06-24 17:00:00;2020-06-24 19:00:00;92763;val_select;0.2
True;ML_CLOSE;0.5518518518518459;1;False;1762.03;2020-06-25 02:00:00;E3_open_pullback_1_0atr:2803;val_select;2803;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1760.54;1760.34;1757.84;2.700000000000045;2020-06-24 20:00:00;2020-06-25 01:00:00;92768;val_select;0.2
True;TIME;2.064000000000033;24;False;1763.47;2020-06-26 10:00:00;E3_open_pullback_1_0atr:2806;val_select;2806;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1768.63;1768.63;1771.13;2.5;2020-06-25 04:00:00;2020-06-25 09:00:00;92776;val_select;0.2
True;ML_CLOSE;0.152542372881369;0;False;1759.2;2020-06-25 13:00:00;E3_open_pullback_1_0atr:2807;val_select;2807;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1758.75;1758.55;1755.8;2.950000000000045;2020-06-25 06:00:00;2020-06-25 13:00:00;92780;val_select;0.2
True;TIME;1.063999999999942;24;False;1764.21;2020-06-26 11:00:00;E3_open_pullback_1_0atr:2808;val_select;2808;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1766.87;1766.87;1769.37;2.5;2020-06-25 08:00:00;2020-06-25 10:00:00;92777;val_select;0.2
True;ML_CLOSE;-0.0063965884861351;0;False;1761.56;2020-06-25 12:00:00;E3_open_pullback_1_0atr:2809;val_select;2809;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1761.59;1761.39;1756.9;4.689999999999827;2020-06-25 09:00:00;2020-06-25 12:00:00;92779;val_select;0.2
True;ML_CLOSE;0.1124401913875102;0;False;1764.35;2020-06-26 01:00:00;E3_open_pullback_1_0atr:2813;val_select;2813;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1764.82;1764.82;1769.0;4.180000000000064;2020-06-25 17:00:00;2020-06-26 01:00:00;92791;val_select;0.2
True;ML_CLOSE;-0.3500000000000474;7;False;1766.84;2020-06-26 18:00:00;E3_open_pullback_1_0atr:2819;val_select;2819;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1766.0;1766.0;1768.4;2.400000000000091;2020-06-26 07:00:00;2020-06-26 11:00:00;92801;val_select;0.2
True;SL;-1.0;0;False;1752.49;2020-06-26 16:00:00;E3_open_pullback_1_0atr:2820;val_select;2820;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1755.09;1754.89;1752.49;2.6000000000001364;2020-06-26 09:00:00;2020-06-26 16:00:00;92806;val_select;0.2
