entry_id;mask_id;exit_id;split;spread;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts;bs_p05;negative_years;pf_without_best_year;effective_profit_years;n_years
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_2_activation_3;val_eval;0.2;2690;2123.57765655908;2408.597142857143;0.8816657708229425;-0.1059551993673097;-1.0;438.827716784427;0.104089219330855;0.4278810408921933;{'SL': 2408, 'TIME': 282};0.7725051345011217;1;0.711868327123351;1.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_3_activation_0;val_select;0.2;2639;1974.0964072414456;2353.898732888733;0.8386496749666078;-0.1439190320755161;-1.0;464.0300170650478;0.1068586585827965;0.4539598332701781;{'SL': 2353, 'TIME': 286};0.7377349525314688;2;0.7999524403045298;1.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_3_activation_0;val_eval;0.2;2690;2123.57765655908;2408.597142857143;0.8816657708229425;-0.1059551993673097;-1.0;438.827716784427;0.104089219330855;0.4278810408921933;{'SL': 2408, 'TIME': 282};0.7835262134904021;1;0.711868327123351;1.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_3_activation_1;val_select;0.2;2639;1974.0964072414456;2353.898732888733;0.8386496749666078;-0.1439190320755161;-1.0;464.0300170650478;0.1068586585827965;0.4539598332701781;{'SL': 2353, 'TIME': 286};0.7416513903258293;2;0.7999524403045298;1.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_3_activation_1;val_eval;0.2;2690;2123.57765655908;2408.597142857143;0.8816657708229425;-0.1059551993673097;-1.0;438.827716784427;0.104089219330855;0.4278810408921933;{'SL': 2408, 'TIME': 282};0.7805943673152395;1;0.711868327123351;1.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_3_activation_2;val_select;0.2;2639;1974.0964072414456;2353.898732888733;0.8386496749666078;-0.1439190320755161;-1.0;464.0300170650478;0.1068586585827965;0.4539598332701781;{'SL': 2353, 'TIME': 286};0.731126841215545;2;0.7999524403045298;1.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_3_activation_2;val_eval;0.2;2690;2123.57765655908;2408.597142857143;0.8816657708229425;-0.1059551993673097;-1.0;438.827716784427;0.104089219330855;0.4278810408921933;{'SL': 2408, 'TIME': 282};0.7738141335595607;1;0.711868327123351;1.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_3_activation_3;val_select;0.2;2639;1974.0964072414456;2353.898732888733;0.8386496749666078;-0.1439190320755161;-1.0;464.0300170650478;0.1068586585827965;0.4539598332701781;{'SL': 2353, 'TIME': 286};0.7472750408567949;2;0.7999524403045298;1.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_3_activation_3;val_eval;0.2;2690;2123.57765655908;2408.597142857143;0.8816657708229425;-0.1059551993673097;-1.0;438.827716784427;0.104089219330855;0.4278810408921933;{'SL': 2408, 'TIME': 282};0.7751227991495228;1;0.711868327123351;1.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_5_activation_0;val_select;0.2;2639;1974.0964072414456;2353.898732888733;0.8386496749666078;-0.1439190320755161;-1.0;464.0300170650478;0.1068586585827965;0.4539598332701781;{'SL': 2353, 'TIME': 286};0.7262224444485821;2;0.7999524403045298;1.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_5_activation_0;val_eval;0.2;2690;2123.57765655908;2408.597142857143;0.8816657708229425;-0.1059551993673097;-1.0;438.827716784427;0.104089219330855;0.4278810408921933;{'SL': 2408, 'TIME': 282};0.7794164092508409;1;0.711868327123351;1.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_5_activation_1;val_select;0.2;2639;1974.0964072414456;2353.898732888733;0.8386496749666078;-0.1439190320755161;-1.0;464.0300170650478;0.1068586585827965;0.4539598332701781;{'SL': 2353, 'TIME': 286};0.7391657041199436;2;0.7999524403045298;1.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_5_activation_1;val_eval;0.2;2690;2123.57765655908;2408.597142857143;0.8816657708229425;-0.1059551993673097;-1.0;438.827716784427;0.104089219330855;0.4278810408921933;{'SL': 2408, 'TIME': 282};0.7793161420172134;1;0.711868327123351;1.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_5_activation_2;val_select;0.2;2639;1974.0964072414456;2353.898732888733;0.8386496749666078;-0.1439190320755161;-1.0;464.0300170650478;0.1068586585827965;0.4539598332701781;{'SL': 2353, 'TIME': 286};0.7316238557079737;2;0.7999524403045298;1.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_5_activation_2;val_eval;0.2;2690;2123.57765655908;2408.597142857143;0.8816657708229425;-0.1059551993673097;-1.0;438.827716784427;0.104089219330855;0.4278810408921933;{'SL': 2408, 'TIME': 282};0.7687352317875223;1;0.711868327123351;1.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_5_activation_3;val_select;0.2;2639;1974.0964072414456;2353.898732888733;0.8386496749666078;-0.1439190320755161;-1.0;464.0300170650478;0.1068586585827965;0.4539598332701781;{'SL': 2353, 'TIME': 286};0.737076544423727;2;0.7999524403045298;1.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X6_trail_atr_5_activation_3;val_eval;0.2;2690;2123.57765655908;2408.597142857143;0.8816657708229425;-0.1059551993673097;-1.0;438.827716784427;0.104089219330855;0.4278810408921933;{'SL': 2408, 'TIME': 282};0.7654465438815626;1;0.711868327123351;1.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X7_time_1;val_select;0.2;2639;1100.8911973031736;1613.8881175534243;0.6821360076509337;-0.1943906480675447;-1.0;515.5063270764093;0.3315649867374005;0.3069344448654793;{'SL': 1555, 'TIME': 1084};0.6233206115100561;3;0.66817067281943;0.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X7_time_1;val_eval;0.2;2690;1105.7801477602434;1686.7226506580637;0.6555791180777887;-0.2159637557240968;-1.0;580.96250289782;0.3089219330855018;0.2910780669144981;{'SL': 1592, 'TIME': 1098};0.6059326444381442;2;0.6310976215929021;0.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X7_time_2;val_select;0.2;2639;1265.924285746284;1756.2557904875234;0.7208086046480012;-0.1858020101330957;-1.0;505.911052386484;0.3057976506252368;0.3285335354300872;{'SL': 1719, 'TIME': 920};0.6618756817266426;3;0.6998216967341558;0.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X7_time_2;val_eval;0.2;2690;1275.8159648217484;1845.3887478632564;0.6913534973587508;-0.211737094067475;-1.0;574.113047492505;0.2713754646840148;0.3152416356877323;{'SL': 1793, 'TIME': 897};0.627671856588604;2;0.6627692648811716;0.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X7_time_6;val_select;0.2;2639;1501.8729175697576;2029.139529774984;0.7401526092867078;-0.1997978826090284;-1.0;535.4838901960524;0.2205380826070481;0.376657824933687;{'SL': 2019, 'TIME': 620};0.6681430869147376;3;0.7225905017125944;0.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X7_time_6;val_eval;0.2;2690;1540.3033127455808;2149.7668316484264;0.7164978499386777;-0.2265663639044035;-1.0;616.9016671380659;0.1921933085501858;0.3698884758364312;{'SL': 2135, 'TIME': 555};0.6396124298249467;2;0.6571322053958543;0.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X7_time_12;val_select;0.2;2639;1741.5297917317969;2205.6159228371275;0.7895888734298003;-0.1758568136056576;-1.0;516.1866219787765;0.1606669192876089;0.41417203486169;{'SL': 2202, 'TIME': 437};0.7075920139491039;2;0.7580340455980836;1.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X7_time_12;val_eval;0.2;2690;1820.35370797832;2299.6959528155685;0.7915627740917752;-0.1781941430621745;-1.0;488.7494920443621;0.1431226765799256;0.3996282527881041;{'SL': 2296, 'TIME': 394};0.7066176769340443;2;0.7346548224966005;0.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X8_giveback_30_activation_1;val_select;0.2;2639;1465.784385954315;1960.5929625687531;0.7476229966845621;-0.1874985133059637;-1.0;506.3538565436778;0.2463054187192118;0.3584691170898067;{'SL': 1950, 'GIVEBACK': 649, 'TIME': 40};0.6641550131761966;3;0.7278266100850135;0.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X8_giveback_30_activation_1;val_eval;0.2;2690;1576.6401514796266;2040.7577827726843;0.772575836676471;-0.1725344354249286;-1.0;478.455127552305;0.2271375464684014;0.3453531598513011;{'SL': 2029, 'GIVEBACK': 623, 'TIME': 38};0.6801864340773512;2;0.7193738369142926;0.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X8_giveback_30_activation_2;val_select;0.2;2639;1642.072857525466;2119.8049024644024;0.7746339559911651;-0.1810276790219539;-1.0;485.0238381018981;0.1951496779082986;0.3880257673361121;{'SL': 2119, 'GIVEBACK': 458, 'TIME': 62};0.69257518711609;3;0.753992234267416;0.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X8_giveback_30_activation_2;val_eval;0.2;2690;1709.9741765588126;2177.0542130982108;0.7854531900357745;-0.1736357013157613;-1.0;479.97045501204485;0.1847583643122676;0.3680297397769517;{'SL': 2173, 'GIVEBACK': 466, 'TIME': 51};0.6926270222976374;2;0.7734283273890502;0.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X8_giveback_30_activation_3;val_select;0.2;2639;1742.8863564376345;2217.1457142857143;0.7860946374465652;-0.1797117687942706;-1.0;501.3574970868722;0.1595301250473664;0.4088669950738916;{'SL': 2217, 'GIVEBACK': 327, 'TIME': 95};0.7015169287088903;3;0.7661989960547435;0.0;3
E1_simple_limit_at_fractal0;M0_no_mask;X8_giveback_30_activation_3;val_eval;0.2;2690;1842.786966181372;2283.078326573388;0.8071501291623061;-0.1636770856475896;-1.0;504.62509110157214;0.1483271375464684;0.3929368029739777;{'SL': 2281, 'GIVEBACK': 334, 'TIME': 75};0.7073455165277058;2;0.7315400170268012;0.0;2
E1_simple_limit_at_fractal0;M0_no_mask;X8_giveback_50_activation_1;val_select;0.2;2639;1574.2716976726465;1993.4699124973288;0.7897143005787685;-0.1588473720442144;-1.0;439.6711962729764;0.2288745737021599;0.3690791966654035;{'SL': 1978, 'GIVEBACK': 556, 'TIME': 105};0.6927793024746874;2;0.7665354303454716;1.0;3
