ticket;direction;mode;signal_time;entry_time;score;atr;spread;spread_atr;open_positions;max_positions;entry;stop;take_profit;lot;raw_line;close_status;close_reason;exit_time;hold_bars;pnl_atr;profit
0;BUY;;2024.05.20 22:00;2024.05.20 23:00;0.0;0.0;0.0;0.0;0;0;2426.88;0.0;0.0;0.0;0	22:02:54.734	2024.05.20 23:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2024.05.20 22:00 entry_time=2024.05.20 23:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2426.88;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2024.07.01 18:00;2024.07.01 19:00;0.0;0.0;0.0;0.0;0;0;2327.95;0.0;0.0;0.0;0	22:02:55.293	2024.07.01 19:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2024.07.01 18:00 entry_time=2024.07.01 19:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2327.95;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2024.07.25 21:00;2024.07.25 22:00;0.0;0.0;0.0;0.0;0;0;2357.23;0.0;0.0;0.0;0	22:02:55.607	2024.07.25 22:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2024.07.25 21:00 entry_time=2024.07.25 22:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2357.23;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;SELL;;2024.08.20 17:00;2024.08.20 18:00;0.0;0.0;0.0;0.0;0;0;2523.7;0.0;0.0;0.0;0	22:02:55.936	2024.08.20 18:00:00  $o$imple XAUUSD,H1: 273360672:: MLP SELL signal_time=2024.08.20 17:00 entry_time=2024.08.20 18:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2523.70;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2024.11.26 02:00;2024.11.26 03:00;0.0;0.0;0.0;0.0;0;0;2620.04;0.0;0.0;0.0;0	22:02:57.614	2024.11.26 03:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2024.11.26 02:00 entry_time=2024.11.26 03:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2620.04;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;SELL;;2024.11.27 16:00;2024.11.27 17:00;0.0;0.0;0.0;0.0;0;0;2651.05;0.0;0.0;0.0;0	22:02:57.659	2024.11.27 17:00:00  $o$imple XAUUSD,H1: 273360672:: MLP SELL signal_time=2024.11.27 16:00 entry_time=2024.11.27 17:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2651.05;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;SELL;;2025.02.11 05:00;2025.02.11 06:00;0.0;0.0;0.0;0.0;0;0;2919.61;0.0;0.0;0.0;0	22:02:58.684	2025.02.11 06:00:00  $o$imple XAUUSD,H1: 273360672:: MLP SELL signal_time=2025.02.11 05:00 entry_time=2025.02.11 06:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2919.61;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2025.02.14 23:00;2025.02.17 01:00;0.0;0.0;0.0;0.0;0;0;2883.29;0.0;0.0;0.0;0	22:02:58.772	2025.02.17 01:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2025.02.14 23:00 entry_time=2025.02.17 01:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2883.29;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2025.03.10 22:00;2025.03.11 00:00;0.0;0.0;0.0;0.0;0;0;2888.43;0.0;0.0;0.0;0	22:02:59.061	2025.03.11 00:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2025.03.10 22:00 entry_time=2025.03.11 00:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2888.43;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2025.04.09 03:00;2025.04.09 04:00;0.0;0.0;0.0;0.0;0;0;2980.66;0.0;0.0;0.0;0	22:02:59.437	2025.04.09 04:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2025.04.09 03:00 entry_time=2025.04.09 04:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2980.66;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
